response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,1.658062789,1.832595715,-2.530727415,-0.174532925,1
1,0.523598776,2.530727415,2.967059728,-1.658062789,1
0,-1.134464014,-1.047197551,0,0.872664626,1
1,2.530727415,2.617993878,0,0.174532925,1
0,-1.570796327,0,1.396263402,1.745329252,1
0,-0.174532925,1.919862177,-2.268928028,-0.698131701,1
0,1.047197551,-2.792526803,-1.745329252,-1.658062789,1
1,1.919862177,2.094395102,0.872664626,1.047197551,1
0,-2.967059728,-0.785398163,2.35619449,-3.141592654,1
0,3.054326191,-2.35619449,2.268928028,2.792526803,1
0,-1.658062789,0.610865238,1.832595715,2.705260341,1
1,0.698131701,0.785398163,0.174532925,0.523598776,1
1,-2.094395102,-0.610865238,-0.34906585,1.134464014,1
0,0.174532925,1.919862177,-1.047197551,-0.872664626,1
1,2.443460953,-2.617993878,-1.221730476,1.308996939,1
0,0.872664626,2.268928028,-1.483529864,-0.785398163,1
1,0.436332313,1.570796327,2.705260341,-2.967059728,1
1,1.919862177,2.967059728,-2.181661565,0.959931089,1
0,2.705260341,-0.610865238,-0.523598776,2.617993878,1
0,-1.134464014,0.261799388,1.658062789,1.832595715,1
0,-3.141592654,-1.134464014,1.483529864,2.705260341,1
1,2.617993878,-1.832595715,-1.396263402,0.959931089,1
0,-1.221730476,-1.047197551,-3.054326191,-2.967059728,1
0,1.396263402,2.879793266,-2.530727415,-2.094395102,1
1,1.047197551,1.570796327,-1.221730476,0.261799388,1
1,2.443460953,2.879793266,-1.658062789,0.872664626,1
1,-1.308996939,-1.221730476,1.221730476,2.181661565,1
0,-2.792526803,-0.34906585,1.832595715,2.181661565,1
1,-2.268928028,-2.00712864,0.34906585,3.054326191,1
0,3.054326191,-1.919862177,-1.396263402,-0.785398163,1
0,-2.268928028,0.087266463,2.879793266,-3.054326191,1
1,-2.094395102,0.610865238,1.745329252,-2.792526803,1
0,-1.832595715,-1.047197551,2.268928028,2.35619449,1
1,1.658062789,1.919862177,-3.054326191,-1.483529864,1
1,0.785398163,2.094395102,-2.268928028,0.698131701,1
1,-2.617993878,-1.570796327,-0.698131701,1.308996939,1
1,0.959931089,1.919862177,2.617993878,-2.181661565,1
0,0.698131701,1.221730476,-1.308996939,-0.523598776,1
1,0.34906585,1.396263402,-2.268928028,-0.959931089,1
1,-0.698131701,0.34906585,-2.268928028,-1.483529864,1
0,2.181661565,-2.705260341,0.872664626,1.134464014,1
1,0.785398163,1.047197551,1.221730476,-2.617993878,1
1,-2.181661565,-0.610865238,0.698131701,-2.617993878,1
1,-2.268928028,-1.832595715,-0.523598776,1.396263402,1
0,-0.261799388,1.832595715,2.268928028,2.443460953,2
1,-1.134464014,-0.436332313,2.268928028,-2.443460953,2
0,-1.221730476,0.436332313,2.705260341,-2.617993878,2
1,0.261799388,0.436332313,-2.705260341,-1.221730476,2
1,-1.832595715,-1.483529864,1.308996939,-2.879793266,2
0,2.530727415,2.879793266,-2.705260341,-2.443460953,2
0,-0.698131701,1.570796327,-2.268928028,-1.919862177,2
0,-3.054326191,-0.959931089,0.698131701,1.047197551,2
1,-1.658062789,-1.570796327,1.308996939,-2.443460953,2
1,0.34906585,0.436332313,2.530727415,-2.792526803,2
1,1.047197551,2.00712864,-1.134464014,-0.174532925,2
1,-0.261799388,0.436332313,1.658062789,-1.483529864,2
0,-1.745329252,-0.174532925,0.436332313,1.047197551,2
0,0.785398163,3.054326191,-2.879793266,-2.181661565,2
0,-2.792526803,-0.785398163,1.221730476,2.35619449,2
1,1.570796327,2.443460953,2.705260341,-1.047197551,2
0,-1.047197551,1.047197551,-2.35619449,-1.308996939,2
1,-1.134464014,-1.047197551,0.174532925,0.872664626,2
0,-2.705260341,0.174532925,2.268928028,2.967059728,2
0,-3.054326191,-0.785398163,1.570796327,2.530727415,2
1,1.308996939,1.570796327,-3.054326191,-1.570796327,2
1,-0.34906585,0.698131701,2.530727415,-2.967059728,2
0,3.054326191,-0.523598776,0.959931089,1.396263402,2
0,-2.530727415,-1.396263402,-0.610865238,0.174532925,2
0,-1.570796327,0.436332313,-2.967059728,-1.832595715,2
1,0,0.174532925,2.617993878,-2.705260341,2
1,1.483529864,2.268928028,-2.00712864,0.34906585,2
0,2.181661565,-2.268928028,0.872664626,1.570796327,2
1,-1.047197551,-0.872664626,-3.141592654,-2.181661565,2
0,-0.174532925,2.181661565,-2.35619449,-2.181661565,2
1,2.181661565,3.054326191,-0.959931089,2.094395102,2
0,0.785398163,2.879793266,-0.959931089,0.698131701,2
0,0.610865238,1.745329252,-0.34906585,0.34906585,2
0,3.054326191,-2.094395102,1.919862177,2.268928028,2
1,2.268928028,-2.443460953,-1.221730476,1.134464014,2
0,1.832595715,-1.483529864,-1.483529864,1.745329252,2
0,0.261799388,1.134464014,1.658062789,2.35619449,2
1,0.261799388,1.919862177,-2.094395102,-0.785398163,2
0,-1.658062789,-0.261799388,-2.967059728,-2.617993878,2
1,2.094395102,2.967059728,-2.617993878,0.087266463,2
0,2.094395102,-3.054326191,0.34906585,0.785398163,2
0,2.705260341,-2.617993878,-0.959931089,1.134464014,2
0,-3.054326191,-0.610865238,1.308996939,2.00712864,2
1,2.35619449,2.617993878,-2.181661565,0,2
0,2.967059728,-2.443460953,0.959931089,1.919862177,2
1,0.436332313,1.047197551,-2.617993878,-1.134464014,2
1,-2.705260341,-2.530727415,1.745329252,1.919862177,2
1,1.658062789,2.879793266,3.054326191,-2.530727415,2
1,0.872664626,1.047197551,-1.483529864,0.698131701,2
1,-2.094395102,-2.00712864,2.705260341,-2.268928028,2
1,-2.181661565,-2.094395102,-0.523598776,0.174532925,2
0,0.959931089,2.268928028,2.967059728,-2.181661565,2
0,2.705260341,-2.530727415,1.134464014,2.181661565,2
0,1.745329252,-3.054326191,0.087266463,0.34906585,2
1,-1.832595715,-1.221730476,-0.785398163,1.570796327,2
0,2.792526803,3.054326191,1.134464014,1.308996939,2
