error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
-0.244346095,0.610865238,1.692969374,2.670353756,3.001966313,-2.600540585,6,2.49582083,2.740166926,3.106686069,-2.094395102,-1.117010721,-0.785398163,-0.104719755,1
0.06981317,3.019419606,3.089232776,0.436332313,2.303834613,2.548180708,6,-3.001966313,-3.071779484,0.017453293,0.087266463,-2.565634,-0.698131701,-0.453785606,1
-0.942477796,-2.21656815,-2.199114858,1.780235837,1.79768913,-3.001966313,6,2.373647783,-2.967059728,0.157079633,0.174532925,-2.129301687,-2.111848395,-0.628318531,1
0.104719755,-2.478367538,-1.431169987,-0.471238898,-0.104719755,0.191986218,6,2.775073511,2.670353756,0.296705973,1.343903524,2.303834613,2.670353756,2.967059728,1
0.157079633,1.291543646,2.111848395,2.443460953,-2.565634,0.087266463,6,-0.645771823,-0.802851456,0.645771823,1.466076572,1.79768913,3.071779484,-0.558505361,1
0.436332313,0.20943951,1.675516082,2.181661565,-1.832595715,-0.994837674,6,-0.06981317,-0.506145483,0.13962634,1.605702912,2.111848395,-1.902408885,-1.064650844,1
-0.226892803,-3.141592654,-2.303834613,-2.129301687,-1.710422667,0.104719755,6,-0.680678408,-0.453785606,2.460914245,-2.984513021,-2.809980096,-2.391101075,-0.575958653,1
-0.261799388,0.610865238,1.378810109,-2.670353756,-2.14675498,-0.802851456,6,0.331612558,0.593411946,0.942477796,1.710422667,-2.338741198,-1.815142422,-0.471238898,1
0.122173048,-1.815142422,-2.722713633,NaN,NaN,NaN,3,1.8675023,1.745329252,0.052359878,-0.855211333,NaN,NaN,NaN,2
0.052359878,1.658062789,2.338741198,NaN,NaN,NaN,3,-0.27925268,-0.331612558,1.378810109,2.059488517,NaN,NaN,NaN,2
0.052359878,-0.977384381,-0.698131701,NaN,NaN,NaN,3,0.575958653,0.523598776,-0.401425728,-0.122173048,NaN,NaN,NaN,2
-0.663225116,-1.658062789,1.727875959,NaN,NaN,NaN,3,-2.42600766,-1.762782545,2.199114858,-0.698131701,NaN,NaN,NaN,2
-0.087266463,-1.850049007,-1.308996939,NaN,NaN,NaN,3,0.296705973,0.383972435,-1.553343034,-1.012290966,NaN,NaN,NaN,2
-0.453785606,-0.41887902,2.809980096,NaN,NaN,NaN,3,0.453785606,0.907571211,0.034906585,-3.019419606,NaN,NaN,NaN,2
-0.06981317,-2.28638132,2.094395102,NaN,NaN,NaN,3,2.862339973,2.932153143,0.575958653,-1.326450232,NaN,NaN,NaN,2
0.523598776,-0.523598776,1.448623279,NaN,NaN,NaN,3,1.727875959,1.204277184,1.204277184,-3.106686069,NaN,NaN,NaN,2
0.052359878,2.827433388,0.296705973,NaN,NaN,NaN,3,-0.837758041,-0.890117919,1.989675347,-0.541052068,NaN,NaN,NaN,2
-0.34906585,1.466076572,2.844886681,NaN,NaN,NaN,3,-3.071779484,-2.722713633,-1.605702912,-0.226892803,NaN,NaN,NaN,2
-0.157079633,-1.099557429,2.14675498,NaN,NaN,NaN,3,3.089232776,-3.036872898,1.989675347,-1.047197551,NaN,NaN,NaN,2
-0.174532925,1.518436449,-2.321287905,NaN,NaN,NaN,3,1.343903524,1.518436449,2.862339973,-0.977384381,NaN,NaN,NaN,2
-0.226892803,0.698131701,0.802851456,NaN,NaN,NaN,3,-1.361356817,-1.134464014,-0.663225116,-0.558505361,NaN,NaN,NaN,2
-0.017453293,1.902408885,1.919862177,NaN,NaN,NaN,3,-0.471238898,-0.453785606,1.431169987,1.448623279,NaN,NaN,NaN,2
-0.034906585,-0.488692191,-0.296705973,NaN,NaN,NaN,3,0.13962634,0.174532925,-0.34906585,-0.157079633,NaN,NaN,NaN,2
-1.93731547,-2.373647783,0.191986218,NaN,NaN,NaN,3,3.124139361,-1.221730476,0.750491578,-2.967059728,NaN,NaN,NaN,2
-0.401425728,-1.954768762,-0.401425728,NaN,NaN,NaN,3,-2.879793266,-2.478367538,1.448623279,3.001966313,NaN,NaN,NaN,2
0.20943951,-0.191986218,1.605702912,NaN,NaN,NaN,3,-2.862339973,-3.071779484,-3.054326191,-1.256637061,NaN,NaN,NaN,2
-0.191986218,1.745329252,-1.570796327,NaN,NaN,NaN,3,0.401425728,0.593411946,2.14675498,-1.169370599,NaN,NaN,NaN,2
-0.157079633,-2.844886681,-2.234021443,NaN,NaN,NaN,3,-3.019419606,-2.862339973,0.41887902,1.029744259,NaN,NaN,NaN,2
0.959931089,-1.902408885,2.28638132,NaN,NaN,NaN,3,1.989675347,1.029744259,0.087266463,-2.00712864,NaN,NaN,NaN,2
0.052359878,-1.047197551,0.855211333,NaN,NaN,NaN,3,-3.124139361,3.106686069,2.111848395,-2.268928028,NaN,NaN,NaN,2
1.274090354,2.443460953,-2.164208272,NaN,NaN,NaN,3,-0.628318531,-1.902408885,1.815142422,-2.792526803,NaN,NaN,NaN,2
-0.104719755,-0.261799388,1.832595715,NaN,NaN,NaN,3,0.575958653,0.680678408,0.314159265,2.408554368,NaN,NaN,NaN,2
-0.41887902,-2.932153143,-2.373647783,NaN,NaN,NaN,3,2.14675498,2.565634,-0.785398163,-0.226892803,NaN,NaN,NaN,2
-0.802851456,-0.296705973,0.767944871,NaN,NaN,NaN,3,-2.984513021,-2.181661565,3.001966313,-2.21656815,NaN,NaN,NaN,2
-0.034906585,-2.391101075,-2.373647783,NaN,NaN,NaN,3,-2.844886681,-2.809980096,1.047197551,1.064650844,NaN,NaN,NaN,2
0.244346095,-0.750491578,-2.460914245,NaN,NaN,NaN,3,1.221730476,0.977384381,0.471238898,-1.239183769,NaN,NaN,NaN,2
-0.244346095,0.06981317,3.036872898,NaN,NaN,NaN,3,1.500983157,1.745329252,1.570796327,-1.745329252,NaN,NaN,NaN,2
-0.401425728,2.897246558,1.466076572,NaN,NaN,NaN,3,-1.500983157,-1.099557429,1.396263402,-0.034906585,NaN,NaN,NaN,2
0.872664626,-0.383972435,1.012290966,NaN,NaN,NaN,3,1.204277184,0.331612558,0.820304748,2.21656815,NaN,NaN,NaN,2
2.234021443,1.745329252,2.530727415,NaN,NaN,NaN,3,-1.169370599,2.879793266,0.575958653,1.361356817,NaN,NaN,NaN,2
0.06981317,-0.959931089,-0.523598776,NaN,NaN,NaN,3,-2.652900463,-2.722713633,2.670353756,3.106686069,NaN,NaN,NaN,2
0.104719755,-0.41887902,2.792526803,NaN,NaN,NaN,3,1.151917306,1.047197551,0.733038286,-2.338741198,NaN,NaN,NaN,2
-0.27925268,0.488692191,1.047197551,NaN,NaN,NaN,3,0.436332313,0.715584993,0.925024504,1.483529864,NaN,NaN,NaN,2
-0.226892803,0.750491578,2.583087293,NaN,NaN,NaN,3,1.780235837,2.00712864,2.530727415,-1.919862177,NaN,NaN,NaN,2
-0.314159265,1.727875959,-0.541052068,NaN,NaN,NaN,3,-0.541052068,-0.226892803,1.186823891,-1.082104136,NaN,NaN,NaN,2
-0.191986218,2.914699851,2.164208272,NaN,NaN,NaN,3,-2.722713633,-2.530727415,0.191986218,-0.558505361,NaN,NaN,NaN,2
-0.523598776,-1.169370599,-0.296705973,NaN,NaN,NaN,3,-1.082104136,-0.558505361,-2.251474735,-1.378810109,NaN,NaN,NaN,2
-0.959931089,-0.750491578,2.059488517,NaN,NaN,NaN,3,2.14675498,3.106686069,1.396263402,-2.07694181,NaN,NaN,NaN,2
0.41887902,2.268928028,-2.251474735,NaN,NaN,NaN,3,1.8675023,1.448623279,-2.14675498,-0.383972435,NaN,NaN,NaN,2
0.226892803,-2.251474735,-0.837758041,NaN,NaN,NaN,3,-1.343903524,-1.570796327,2.687807048,-2.181661565,NaN,NaN,NaN,2
0.314159265,1.902408885,-3.089232776,NaN,NaN,NaN,3,-0.767944871,-1.082104136,1.134464014,2.42600766,NaN,NaN,NaN,2
0.541052068,-1.745329252,0.052359878,NaN,NaN,NaN,3,1.93731547,1.396263402,0.191986218,1.989675347,NaN,NaN,NaN,2
0.017453293,-1.570796327,-0.401425728,NaN,NaN,NaN,3,-1.082104136,-1.099557429,-2.652900463,-1.483529864,NaN,NaN,NaN,2
-0.122173048,-0.680678408,0.226892803,NaN,NaN,NaN,3,1.099557429,1.221730476,0.41887902,1.326450232,NaN,NaN,NaN,2
0.558505361,0.541052068,-2.234021443,NaN,NaN,NaN,3,0.191986218,-0.366519143,0.733038286,-2.042035225,NaN,NaN,NaN,2
-0.087266463,1.361356817,-1.902408885,NaN,NaN,NaN,3,-0.453785606,-0.366519143,0.907571211,-2.35619449,NaN,NaN,NaN,2
-0.052359878,-1.675516082,1.902408885,NaN,NaN,NaN,3,2.740166926,2.792526803,1.064650844,-1.640609497,NaN,NaN,NaN,2
0.087266463,-2.321287905,-0.750491578,NaN,NaN,NaN,3,2.827433388,2.740166926,0.506145483,2.07694181,NaN,NaN,NaN,2
0.034906585,3.036872898,-3.019419606,-2.809980096,-2.199114858,-1.675516082,6,-0.20943951,-0.244346095,2.827433388,3.054326191,-3.019419606,-2.408554368,-1.884955592,2
0.017453293,-3.019419606,-1.989675347,-1.431169987,-0.733038286,-0.506145483,6,-1.361356817,-1.378810109,1.902408885,2.932153143,-2.792526803,-2.094395102,-1.8675023,2
1.692969374,-2.513274123,-0.994837674,-0.122173048,0.680678408,2.600540585,6,2.967059728,1.274090354,0.453785606,1.972222055,2.844886681,-2.635447171,-0.715584993,2
-0.157079633,2.548180708,-2.792526803,-2.042035225,-1.588249619,-1.466076572,6,-1.378810109,-1.221730476,1.169370599,2.111848395,2.862339973,-2.967059728,-2.844886681,2
-0.436332313,0.41887902,0.942477796,1.745329252,2.757620218,-2.094395102,6,1.605702912,2.042035225,2.024581932,2.548180708,-2.932153143,-1.919862177,-0.488692191,2
0.244346095,-1.431169987,-0.942477796,0.593411946,1.989675347,-3.124139361,6,2.07694181,1.832595715,0.645771823,1.134464014,2.670353756,-2.21656815,-1.047197551,2
0.052359878,-1.413716694,-1.396263402,1.535889742,2.111848395,2.164208272,6,-2.897246558,-2.949606436,1.972222055,1.989675347,-1.361356817,-0.785398163,-0.733038286,2
-0.34906585,0.034906585,0.750491578,1.291543646,2.42600766,2.530727415,6,2.181661565,2.530727415,2.21656815,2.932153143,-2.809980096,-1.675516082,-1.570796327,2
-0.13962634,2.600540585,2.757620218,-2.321287905,1.047197551,1.326450232,6,-1.815142422,-1.675516082,0.785398163,0.942477796,2.14675498,-0.767944871,-0.488692191,2
-0.436332313,-0.436332313,-0.261799388,-0.122173048,2.181661565,-3.089232776,6,2.844886681,-3.001966313,2.408554368,2.583087293,2.722713633,-1.256637061,-0.244346095,2
0.06981317,2.862339973,2.967059728,3.001966313,-3.071779484,-2.967059728,6,1.466076572,1.396263402,-1.954768762,-1.850049007,-1.815142422,-1.605702912,-1.500983157,2
-0.314159265,-1.710422667,-1.588249619,0.41887902,1.919862177,-2.565634,6,2.059488517,2.373647783,0.34906585,0.471238898,2.478367538,-2.303834613,-0.506145483,2
0.41887902,2.129301687,-1.518436449,-1.448623279,0.087266463,0.104719755,6,-1.8675023,-2.28638132,0.261799388,2.897246558,2.967059728,-1.780235837,-1.762782545,2
0.366519143,-2.809980096,-1.884955592,-0.13962634,0.977384381,1.343903524,6,-1.378810109,-1.745329252,2.094395102,3.019419606,-1.518436449,-0.401425728,-0.034906585,2
0.401425728,-0.191986218,1.134464014,1.884955592,3.036872898,-2.199114858,6,1.79768913,1.396263402,1.605702912,2.932153143,-2.600540585,-1.448623279,-0.401425728,2
2.897246558,3.124139361,-2.49582083,-1.064650844,0.087266463,0.837758041,6,-2.00712864,1.378810109,1.117010721,1.780235837,-3.071779484,-1.919862177,-1.169370599,2
-0.34906585,-2.914699851,-1.727875959,-0.802851456,2.687807048,2.967059728,6,3.089232776,-2.844886681,0.174532925,1.361356817,2.28638132,-0.506145483,-0.226892803,2
0.436332313,3.019419606,-3.019419606,-2.879793266,0.925024504,1.710422667,6,-2.687807048,-3.124139361,0.331612558,0.575958653,0.715584993,-1.762782545,-0.977384381,2
0.750491578,2.740166926,0.034906585,0.802851456,1.448623279,1.640609497,6,-2.181661565,-2.932153143,0.558505361,-2.14675498,-1.378810109,-0.733038286,-0.541052068,2
-2.513274123,-1.448623279,-0.191986218,0.017453293,0.034906585,-3.141592654,6,1.989675347,-1.780235837,0.541052068,1.79768913,2.00712864,2.024581932,-1.151917306,2
-1.169370599,1.8675023,2.705260341,-2.460914245,-1.448623279,-0.122173048,6,-1.343903524,-0.174532925,0.523598776,1.361356817,2.478367538,-2.792526803,-1.466076572,2
