error,response,target,subject
-0.017453293,0.925024504,0.942477796,2
0.104719755,0.226892803,0.122173048,2
0,2.792526803,2.792526803,2
-0.104719755,-2.321287905,-2.21656815,2
0.06981317,-1.919862177,-1.989675347,2
0.122173048,0.296705973,0.174532925,2
-0.017453293,0.715584993,0.733038286,2
0.017453293,2.565634,2.548180708,2
-0.104719755,2.024581932,2.129301687,2
0.20943951,0.366519143,0.157079633,2
-0.06981317,-0.610865238,-0.541052068,2
0.034906585,-3.019419606,-3.054326191,2
0,-0.174532925,-0.174532925,2
0.122173048,-0.383972435,-0.506145483,2
0.122173048,-2.565634,-2.687807048,2
-0.052359878,2.478367538,2.530727415,2
-0.017453293,-2.513274123,-2.49582083,2
-0.104719755,-0.837758041,-0.733038286,2
0.226892803,0.767944871,0.541052068,2
0.174532925,-2.42600766,-2.600540585,2
-0.052359878,-0.610865238,-0.558505361,2
0.06981317,1.780235837,1.710422667,2
-0.104719755,1.832595715,1.93731547,3
0.087266463,-0.488692191,-0.575958653,3
-0.034906585,2.042035225,2.07694181,3
-0.017453293,0.20943951,0.226892803,3
-0.052359878,0,0.052359878,3
0.017453293,-0.314159265,-0.331612558,3
-0.06981317,0.20943951,0.27925268,3
-0.052359878,-0.13962634,-0.087266463,3
0,0.401425728,0.401425728,3
-0.104719755,-2.740166926,-2.635447171,3
0.017453293,0.925024504,0.907571211,3
0.06981317,1.762782545,1.692969374,3
-0.017453293,1.500983157,1.518436449,3
0.034906585,1.93731547,1.902408885,3
0.034906585,2.35619449,2.321287905,3
0,-2.321287905,-2.321287905,3
0.034906585,-1.099557429,-1.134464014,3
-0.06981317,-0.471238898,-0.401425728,3
0.122173048,1.448623279,1.326450232,3
0.034906585,-1.762782545,-1.79768913,3
0.017453293,-0.872664626,-0.890117919,3
0.052359878,-1.343903524,-1.396263402,3
0.017453293,0.593411946,0.575958653,3
-0.017453293,1.727875959,1.745329252,3
0.104719755,0.506145483,0.401425728,3
-0.034906585,-1.79768913,-1.762782545,3
0.017453293,-0.558505361,-0.575958653,3
-0.017453293,-0.366519143,-0.34906585,3
-0.017453293,0.802851456,0.820304748,3
0.06981317,-1.012290966,-1.082104136,3
-0.017453293,-2.199114858,-2.181661565,3
0.017453293,-2.338741198,-2.35619449,3
0.087266463,-3.036872898,-3.124139361,3
0.034906585,-3.036872898,-3.071779484,3
-0.017453293,-1.239183769,-1.221730476,3
-0.052359878,-1.361356817,-1.308996939,3
0.052359878,0.541052068,0.488692191,3
